categoria,serie,tipo,fecha,valor,porcentaje
generacion,Hidráulica,Hidráulica,2023-01-13 23:00:00+00:00,140292.936,0.10141247936466577
generacion,Residuos renovables,Residuos renovables,2023-01-13 23:00:00+00:00,2426.5895,0.001754090153158279
generacion,Nuclear,Nuclear,2023-01-13 23:00:00+00:00,170577.206,0.12330383750438685
generacion,Residuos no renovables,Residuos no renovables,2023-01-13 23:00:00+00:00,3755.1965,0.00271449011207888
generacion,Carbón,Carbón,2023-01-13 23:00:00+00:00,6325.853,0.004572720873319018
generacion,Eólica,Eólica,2023-01-13 23:00:00+00:00,183461.687,0.1326175435311602
generacion,Motores diésel,Motores diésel,2023-01-13 23:00:00+00:00,5974.898,0.004319028722379742
generacion,Hidroeólica,Hidroeólica,2023-01-13 23:00:00+00:00,19.84,1.4341588735408381e-05
generacion,Turbina de gas,Turbina de gas,2023-01-13 23:00:00+00:00,2211.535,0.0015986353550383756
generacion,Solar térmica,Solar térmica,2023-01-13 23:00:00+00:00,3407.815,0.0024633811096953485
generacion,Turbina de vapor,Turbina de vapor,2023-01-13 23:00:00+00:00,4300.41,0.0031086044160099574
generacion,Solar fotovoltaica,Solar fotovoltaica,2023-01-13 23:00:00+00:00,57887.595,0.041844762115518276
generacion,Ciclo combinado,Ciclo combinado,2023-01-13 23:00:00+00:00,66161.851,0.04782591013182297
generacion,Solar térmica,Solar térmica,2023-01-14 23:00:00+00:00,2302.046,0.0016442692550956992
generacion,Cogeneración,Cogeneración,2023-01-14 23:00:00+00:00,30898.967,0.02207002877106565
generacion,Residuos no renovables,Residuos no renovables,2023-01-14 23:00:00+00:00,3517.535,0.0025124496444567353
generacion,Solar fotovoltaica,Solar fotovoltaica,2023-01-14 23:00:00+00:00,42371.338,0.030264333714733808
generacion,Residuos renovables,Residuos renovables,2023-01-14 23:00:00+00:00,2396.179,0.001711505095643596
generacion,Otras renovables,Otras renovables,2023-01-14 23:00:00+00:00,9747.292,0.0069621426140225985
generacion,Eólica,Eólica,2023-01-14 23:00:00+00:00,292377.269,0.20883464288096104
generacion,Generación total,Generación total,2023-01-14 23:00:00+00:00,700020.995,1.0
generacion,Ciclo combinado,Ciclo combinado,2023-01-14 23:00:00+00:00,49544.793,0.03538807646762081
generacion,Carbón,Carbón,2023-01-14 23:00:00+00:00,6462.675,0.0046160579798038785
generacion,Nuclear,Nuclear,2023-01-14 23:00:00+00:00,170266.56,0.1216153238375372
generacion,Turbina de gas,Turbina de gas,2023-01-14 23:00:00+00:00,1460.505,0.00104318656899712
generacion,Hidroeólica,Hidroeólica,2023-01-14 23:00:00+00:00,62.72,4.47986563602996e-05
generacion,Hidráulica,Hidráulica,2023-01-14 23:00:00+00:00,79957.342,0.057110674230563624
generacion,Turbina de vapor,Turbina de vapor,2023-01-14 23:00:00+00:00,3293.026,0.002352090882645599
generacion,Motores diésel,Motores diésel,2023-01-14 23:00:00+00:00,5362.748,0.00383041940049241
generacion,Residuos renovables,Residuos renovables,2023-01-15 23:00:00+00:00,2196.0565,0.0013710381730909391
generacion,Turbina de vapor,Turbina de vapor,2023-01-15 23:00:00+00:00,3645.538,0.0022759759411716393
generacion,Eólica,Eólica,2023-01-15 23:00:00+00:00,405312.844,0.2530442095492774
generacion,Ciclo combinado,Ciclo combinado,2023-01-15 23:00:00+00:00,51012.084,0.03184777552532074
generacion,Solar fotovoltaica,Solar fotovoltaica,2023-01-15 23:00:00+00:00,31092.675,0.01941172475685863
generacion,Carbón,Carbón,2023-01-15 23:00:00+00:00,6960.053,0.0043452881789408015
generacion,Residuos no renovables,Residuos no renovables,2023-01-15 23:00:00+00:00,3279.7455,0.002047605004025729
generacion,Cogeneración,Cogeneración,2023-01-15 23:00:00+00:00,31020.819,0.019366863743963188
